'The Doctor' Romanov | Sabre,$4.59,$4.79
Sawed-Off | Forest DDPAT (Factory New),$0.09,$0.10
Sawed-Off | Forest DDPAT (Field-Tested),$0.03,$0.04
Sawed-Off | Forest DDPAT (Minimal Wear),$0.03,$0.04
Sawed-Off | Forest DDPAT (Well-Worn),$0.03,$0.04
Sawed-Off | Fubar (Battle-Scarred),$0.08,$0.09
Sawed-Off | Fubar (Well-Worn),$0.09,$0.10
Sawed-Off | Full Stop (Battle-Scarred),$0.23,$0.24
Sawed-Off | Full Stop (Factory New),$0.73,$0.76
Sawed-Off | Full Stop (Field-Tested),$0.25,$0.26
Sawed-Off | Full Stop (Minimal Wear),$0.47,$0.49
Sawed-Off | Full Stop (Well-Worn),$0.25,$0.26
Sawed-Off | Highwayman (Battle-Scarred),$0.44,$0.46
Sawed-Off | Highwayman (Factory New),$1.63,$1.70
Sawed-Off | Highwayman (Field-Tested),$0.42,$0.43
Sawed-Off | Highwayman (Minimal Wear),$0.81,$0.84
Sawed-Off | Highwayman (Well-Worn),$0.37,$0.38
Sawed-Off | Irradiated Alert (Battle-Scarred),$0.42,$0.43
Sawed-Off | Highwayman (Factory New),$1.19,$1.24
Sawed-Off | Highwayman (Field-Tested),$0.35,$0.36
Sawed-Off | Highwayman (Minimal Wear),$0.56,$0.58
Sawed-Off | Highwayman (Well-Worn),$0.35,$0.36
Sawed-Off | Irradiated Alert (Battle-Scarred),$0.41,$0.42
Sawed-Off | Irradiated Alert (Factory New),$4.78,$4.99
Sawed-Off | Irradiated Alert (Field-Tested),$0.47,$0.49
Sawed-Off | Irradiated Alert (Minimal Wear),$1.07,$1.11
Sawed-Off | Irradiated Alert (Well-Worn),$0.41,$0.42
Sawed-Off | Jungle Thicket (Battle-Scarred),$0.09,$0.10
Sawed-Off | Jungle Thicket (Factory New),$0.13,$0.14
Sawed-Off | Jungle Thicket (Field-Tested),$0.09,$0.10
Sawed-Off | Jungle Thicket (Minimal Wear),$0.09,$0.10
Sawed-Off | Jungle Thicket (Well-Worn),$0.09,$0.10
Sawed-Off | Limelight (Battle-Scarred),$0.52,$0.54
Sawed-Off | Limelight (Factory New),$1.66,$1.73
Sawed-Off | Limelight (Field-Tested),$0.55,$0.57
Sawed-Off | Limelight (Minimal Wear),$0.82,$0.85
Sawed-Off | Limelight (Well-Worn),$0.49,$0.51
Sawed-Off | Morris (Battle-Scarred),$0.08,$0.09
Sawed-Off | Morris (Factory New),$0.19,$0.20
Sawed-Off | Morris (Field-Tested),$0.08,$0.09
Sawed-Off | Morris (Minimal Wear),$0.10,$0.11
Sawed-Off | Morris (Well-Worn),$0.08,$0.09
Sawed-Off | Mosaico (Battle-Scarred),$0.91,$0.95
Sawed-Off | Mosaico (Factory New),$11.48,$12.00
Sawed-Off | Mosaico (Field-Tested),$0.92,$0.96
Sawed-Off | Mosaico (Minimal Wear),$1.27,$1.32
Sawed-Off | Mosaico (Well-Worn),$1.01,$1.05
Sawed-Off | Orange DDPAT (Battle-Scarred),$5.09,$5.32
Sawed-Off | Orange DDPAT (Factory New),$22.71,$23.74
Sawed-Off | Orange DDPAT (Field-Tested),$4.26,$4.45
Sawed-Off | Orange DDPAT (Minimal Wear),$6.60,$6.90
Sawed-Off | Orange DDPAT (Well-Worn),$4.90,$5.12
Sawed-Off | Origami (Battle-Scarred),$0.09,$0.10
Sawed-Off | Origami (Factory New),$0.20,$0.21
Sawed-Off | Origami (Field-Tested),$0.09,$0.10
Sawed-Off | Origami (Minimal Wear),$0.14,$0.15
Sawed-Off | Origami (Well-Worn),$0.10,$0.11
Sawed-Off | Rust Coat (Battle-Scarred),$2.75,$2.87
Sawed-Off | Rust Coat (Factory New),$5.08,$5.31
Sawed-Off | Rust Coat (Field-Tested),$2.69,$2.81
Sawed-Off | Rust Coat (Minimal Wear),$2.89,$3.02
Sawed-Off | Rust Coat (Well-Worn),$3.35,$3.50
Sawed-Off | Sage Spray (Battle-Scarred),$0.07,$0.08
Sawed-Off | Sage Spray (Factory New),$1.10,$1.15
Sawed-Off | Sage Spray (Field-Tested),$0.07,$0.08
Sawed-Off | Sage Spray (Minimal Wear),$0.13,$0.14
Sawed-Off | Sage Spray (Well-Worn),$0.08,$0.09
Sawed-Off | Serenity (Battle-Scarred),$0.80,$0.83
Sawed-Off | Serenity (Factory New),$1.52,$1.58
Sawed-Off | Serenity (Field-Tested),$0.88,$0.92
Sawed-Off | Serenity (Minimal Wear),$1.17,$1.22
Sawed-Off | Serenity (Well-Worn),$0.89,$0.93
Sawed-Off | Snake Camo (Battle-Scarred),$0.05,$0.06
Sawed-Off | Snake Camo (Factory New),$0.24,$0.25
Sawed-Off | Snake Camo (Field-Tested),$0.05,$0.06
Sawed-Off | Snake Camo (Minimal Wear),$0.07,$0.08
Sawed-Off | Snake Camo (Well-Worn),$0.06,$0.07
Sawed-Off | The Kraken (Factory New),$6.60,$6.90
Sawed-Off | The Kraken (Field-Tested),$4.37,$4.56
Sawed-Off | The Kraken (Minimal Wear),$4.71,$4.92
Sawed-Off | The Kraken (Well-Worn),$12.56,$13.13
Sawed-Off | Wasteland Princess (Battle-Scarred),$1.59,$1.66
Sawed-Off | Wasteland Princess (Factory New),$4.00,$4.18
Sawed-Off | Wasteland Princess (Field-Tested),$1.73,$1.80
Sawed-Off | Wasteland Princess (Minimal Wear),$2.39,$2.49
Sawed-Off | Wasteland Princess (Well-Worn),$1.77,$1.85
Sawed-Off | Yorick (Battle-Scarred),$0.09,$0.10
Sawed-Off | Yorick (Factory New),$0.55,$0.57
Sawed-Off | Yorick (Field-Tested),$0.14,$0.15
Sawed-Off | Yorick (Minimal Wear),$0.34,$0.35
Sawed-Off | Yorick (Well-Worn),$0.10,$0.11
Sawed-Off | Zander (Battle-Scarred),$0.08,$0.09
Sawed-Off | Zander (Factory New),$0.20,$0.21
Sawed-Off | Zander (Field-Tested),$0.08,$0.09
Sawed-Off | Zander (Minimal Wear),$0.10,$0.11
Sawed-Off | Zander (Well-Worn),$0.08,$0.09
SCAR-20 | Army Sheen (Factory New),$0.94,$0.98
SCAR-20 | Army Sheen (Field-Tested),$0.24,$0.25
SCAR-20 | Army Sheen (Minimal Wear),$0.46,$0.48
SCAR-20 | Assault (Battle-Scarred),$0.08,$0.09
SCAR-20 | Assault (Factory New),$0.17,$0.18
SCAR-20 | Assault (Field-Tested),$0.08,$0.09
SCAR-20 | Assault (Minimal Wear),$0.09,$0.10
SCAR-20 | Assault (Well-Worn),$0.08,$0.09
SCAR-20 | Bloodsport (Factory New),$4.33,$4.52
SCAR-20 | Bloodsport (Field-Tested),$1.72,$1.79
SCAR-20 | Bloodsport (Minimal Wear),$2.43,$2.54
SCAR-20 | Bloodsport (Well-Worn),$1.88,$1.96
SCAR-20 | Blueprint (Battle-Scarred),$0.08,$0.09
SCAR-20 | Blueprint (Factory New),$0.18,$0.19
SCAR-20 | Blueprint (Field-Tested),$0.08,$0.09
SCAR-20 | Blueprint (Minimal Wear),$0.10,$0.11
SCAR-20 | Blueprint (Well-Worn),$0.08,$0.09
SCAR-20 | Brass (Battle-Scarred),$11.19,$11.69
SCAR-20 | Brass (Factory New),$12.89,$13.47
SCAR-20 | Brass (Field-Tested),$10.39,$10.86
SCAR-20 | Brass (Minimal Wear),$11.83,$12.36
SCAR-20 | Brass (Well-Worn),$10.25,$10.71
SCAR-20 | Cardiac (Minimal Wear),$4.03,$4.21
SCAR-20 | Cardiac (Well-Worn),$2.51,$2.62
SCAR-20 | Contractor (Battle-Scarred),$0.03,$0.04
SCAR-20 | Contractor (Factory New),$0.10,$0.11
SCAR-20 | Contractor (Field-Tested),$0.03,$0.04
SCAR-20 | Contractor (Minimal Wear),$0.03,$0.04
SCAR-20 | Contractor (Well-Worn),$0.03,$0.04
SCAR-20 | Crimson Web (Battle-Scarred),$1.10,$1.15
SCAR-20 | Crimson Web (Factory New),$7.57,$7.91
SCAR-20 | Crimson Web (Field-Tested),$1.06,$1.10
SCAR-20 | Crimson Web (Minimal Wear),$1.57,$1.64
SCAR-20 | Crimson Web (Well-Worn),$1.18,$1.23
SCAR-20 | Cyrex (Battle-Scarred),$6.33,$6.61
SCAR-20 | Cyrex (Factory New),$17.47,$18.26
SCAR-20 | Cyrex (Field-Tested),$8.56,$8.94
SCAR-20 | Cyrex (Minimal Wear),$12.83,$13.41
SCAR-20 | Cyrex (Well-Worn),$7.48,$7.82
SCAR-20 | Emerald (Factory New),$9.84,$10.28
SCAR-20 | Emerald (Minimal Wear),$21.69,$22.67
SCAR-20 | Enforcer (Battle-Scarred),$0.63,$0.65
SCAR-20 | Enforcer (Factory New),$3.35,$3.50
SCAR-20 | Enforcer (Field-Tested),$0.84,$0.87
SCAR-20 | Enforcer (Minimal Wear),$1.60,$1.67
SCAR-20 | Enforcer (Well-Worn),$0.69,$0.72
SCAR-20 | Green Marine (Battle-Scarred),$0.10,$0.11
SCAR-20 | Green Marine (Factory New),$0.47,$0.49
SCAR-20 | Green Marine (Field-Tested),$0.11,$0.12
SCAR-20 | Green Marine (Minimal Wear),$0.24,$0.25
SCAR-20 | Green Marine (Well-Worn),$0.23,$0.24
SCAR-20 | Grotto (Battle-Scarred),$0.29,$0.30
SCAR-20 | Grotto (Factory New),$0.29,$0.30
SCAR-20 | Grotto (Field-Tested),$0.13,$0.14
SCAR-20 | Grotto (Minimal Wear),$0.17,$0.18
SCAR-20 | Grotto (Well-Worn),$0.17,$0.18
SCAR-20 | Jungle Slipstream (Battle-Scarred),$0.08,$0.09
SCAR-20 | Jungle Slipstream (Factory New),$0.20,$0.21
SCAR-20 | Jungle Slipstream (Field-Tested),$0.08,$0.09
SCAR-20 | Jungle Slipstream (Minimal Wear),$0.10,$0.11
SCAR-20 | Jungle Slipstream (Well-Worn),$0.08,$0.09
SCAR-20 | Outbreak (Battle-Scarred),$0.13,$0.14
SCAR-20 | Outbreak (Factory New),$0.49,$0.51
SCAR-20 | Outbreak (Field-Tested),$0.16,$0.17
SCAR-20 | Outbreak (Minimal Wear),$0.34,$0.35
SCAR-20 | Outbreak (Well-Worn),$0.15,$0.16
SCAR-20 | Palm (Battle-Scarred),$5.99,$6.26
SCAR-20 | Palm (Factory New),$12.90,$13.48
SCAR-20 | Palm (Field-Tested),$5.99,$6.26
SCAR-20 | Palm (Minimal Wear),$6.57,$6.86
SCAR-20 | Palm (Well-Worn),$7.65,$7.99
SCAR-20 | Powercore (Battle-Scarred),$0.37,$0.38
SCAR-20 | Powercore (Factory New),$1.02,$1.06
SCAR-20 | Powercore (Field-Tested),$0.35,$0.36
SCAR-20 | Powercore (Minimal Wear),$0.56,$0.58
SCAR-20 | Powercore (Well-Worn),$0.34,$0.35
SCAR-20 | Sand Mesh (Battle-Scarred),$0.03,$0.04
SCAR-20 | Sand Mesh (Factory New),$0.15,$0.16
SCAR-20 | Sand Mesh (Field-Tested),$0.03,$0.04
SCAR-20 | Sand Mesh (Minimal Wear),$0.03,$0.04
SCAR-20 | Sand Mesh (Well-Worn),$0.03,$0.04
SCAR-20 | Splash Jam (Battle-Scarred),$3.82,$3.99
SCAR-20 | Splash Jam (Factory New),$1,092.36,$1,142.01
SCAR-20 | Splash Jam (Field-Tested),$4.11,$4.29
SCAR-20 | Splash Jam (Minimal Wear),$29.41,$30.74
SCAR-20 | Splash Jam (Well-Worn),$3.88,$4.05
SCAR-20 | Stone Mosaico (Battle-Scarred),$0.10,$0.11
SCAR-20 | Stone Mosaico (Factory New),$1.00,$1.04
SCAR-20 | Stone Mosaico (Field-Tested),$0.11,$0.12
SCAR-20 | Stone Mosaico (Minimal Wear),$0.22,$0.23
SCAR-20 | Stone Mosaico (Well-Worn),$0.11,$0.12
SCAR-20 | Storm (Battle-Scarred),$0.52,$0.54
SCAR-20 | Storm (Factory New),$3.33,$3.48
SCAR-20 | Storm (Field-Tested),$0.60,$0.62
SCAR-20 | Storm (Minimal Wear),$0.67,$0.70
SCAR-20 | Storm (Well-Worn),$0.59,$0.61
SCAR-20 | Torn (Factory New),$0.49,$0.51
SCAR-20 | Torn (Field-Tested),$0.22,$0.23
SCAR-20 | Torn (Minimal Wear),$0.34,$0.35
SCAR-20 | Torn (Well-Worn),$0.18,$0.19
Seal Team 6 Soldier | NSWC SEAL,$1.89,$1.97

SG 553 | Aerial (Battle-Scarred),$0.10,$0.11
SG 553 | Aerial (Factory New),$0.39,$0.40
SG 553 | Aerial (Field-Tested),$0.11,$0.12
SG 553 | Aerial (Minimal Wear),$0.24,$0.25
SG 553 | Aerial (Well-Worn),$0.20,$0.21
SG 553 | Aloha (Battle-Scarred),$0.08,$0.09
SG 553 | Aloha (Factory New),$0.24,$0.25
SG 553 | Aloha (Field-Tested),$0.08,$0.09
SG 553 | Aloha (Minimal Wear),$0.12,$0.13
SG 553 | Aloha (Well-Worn),$0.09,$0.10
SG 553 | Anodized Navy (Factory New),$0.61,$0.63
SG 553 | Anodized Navy (Minimal Wear),$0.58,$0.60
SG 553 | Army Sheen (Factory New),$0.07,$0.08
SG 553 | Army Sheen (Field-Tested),$0.03,$0.04
SG 553 | Army Sheen (Minimal Wear),$0.03,$0.04
SG 553 | Atlas (Battle-Scarred),$0.08,$0.09
SG 553 | Atlas (Factory New),$0.29,$0.30
SG 553 | Atlas (Field-Tested),$0.08,$0.09
SG 553 | Atlas (Minimal Wear),$0.13,$0.14
SG 553 | Atlas (Well-Worn),$0.15,$0.16
SG 553 | Barricade (Battle-Scarred),$0.23,$0.24
SG 553 | Barricade (Factory New),$0.39,$0.40
SG 553 | Barricade (Field-Tested),$0.25,$0.26
SG 553 | Barricade (Minimal Wear),$0.25,$0.26
SG 553 | Barricade (Well-Worn),$0.24,$0.25
SG 553 | Bulldozer (Battle-Scarred),$23.93,$25.01
SG 553 | Bulldozer (Factory New),$80.26,$83.90
SG 553 | Bulldozer (Field-Tested),$20.49,$21.42
SG 553 | Bulldozer (Minimal Wear),$30.58,$31.97
SG 553 | Bulldozer (Well-Worn),$29.61,$30.95
SG 553 | Candy Apple (Battle-Scarred),$0.60,$0.62
SG 553 | Candy Apple (Factory New),$1.61,$1.68
SG 553 | Candy Apple (Field-Tested),$0.59,$0.61
SG 553 | Candy Apple (Minimal Wear),$0.70,$0.73
SG 553 | Candy Apple (Well-Worn),$0.67,$0.70
SG 553 | Colony IV (Battle-Scarred),$2.68,$2.80
SG 553 | Colony IV (Factory New),$28.22,$29.50
SG 553 | Colony IV (Field-Tested),$4.01,$4.19
SG 553 | Colony IV (Minimal Wear),$9.57,$10.00
SG 553 | Colony IV (Well-Worn),$2.86,$2.99
SG 553 | Cyrex (Battle-Scarred),$2.73,$2.85
SG 553 | Cyrex (Factory New),$17.34,$18.12
SG 553 | Cyrex (Field-Tested),$3.54,$3.70
SG 553 | Cyrex (Minimal Wear),$6.80,$7.10
SG 553 | Cyrex (Well-Worn),$2.87,$3.00
SG 553 | Damascus Steel (Battle-Scarred),$0.26,$0.27
SG 553 | Damascus Steel (Factory New),$1.26,$1.31
SG 553 | Damascus Steel (Field-Tested),$0.45,$0.47
SG 553 | Damascus Steel (Minimal Wear),$0.88,$0.92
SG 553 | Damascus Steel (Well-Worn),$0.30,$0.31
SG 553 | Danger Close (Battle-Scarred),$0.08,$0.09
SG 553 | Danger Close (Factory New),$0.30,$0.31
SG 553 | Danger Close (Field-Tested),$0.08,$0.09
SG 553 | Danger Close (Minimal Wear),$0.11,$0.12
SG 553 | Danger Close (Well-Worn),$0.10,$0.11
SG 553 | Darkwing (Battle-Scarred),$0.62,$0.64
SG 553 | Darkwing (Factory New),$4.05,$4.23
SG 553 | Darkwing (Field-Tested),$0.90,$0.94
SG 553 | Darkwing (Minimal Wear),$1.71,$1.78
SG 553 | Darkwing (Well-Worn),$0.70,$0.73
SG 553 | Fallout Warning (Battle-Scarred),$0.41,$0.42
SG 553 | Fallout Warning (Factory New),$1.26,$1.31
SG 553 | Fallout Warning (Field-Tested),$0.50,$0.52
SG 553 | Fallout Warning (Minimal Wear),$0.70,$0.73
SG 553 | Fallout Warning (Well-Worn),$0.50,$0.52
SG 553 | Gator Mesh (Battle-Scarred),$2.43,$2.54
SG 553 | Gator Mesh (Factory New),$3.77,$3.94
SG 553 | Gator Mesh (Field-Tested),$2.31,$2.41
SG 553 | Gator Mesh (Minimal Wear),$2.94,$3.07
SG 553 | Gator Mesh (Well-Worn),$2.44,$2.55
SG 553 | Integrale (Battle-Scarred),$29.29,$30.62
SG 553 | Integrale (Factory New),$268.54,$280.74
SG 553 | Integrale (Field-Tested),$86.25,$90.17
SG 553 | Integrale (Minimal Wear),$159.56,$166.81
SG 553 | Integrale (Well-Worn),$47.06,$49.19
SG 553 | Phantom (Battle-Scarred),$0.37,$0.38
SG 553 | Phantom (Factory New),$1.03,$1.07
SG 553 | Phantom (Field-Tested),$0.37,$0.38
SG 553 | Phantom (Minimal Wear),$0.56,$0.58
SG 553 | Phantom (Well-Worn),$0.39,$0.40
SG 553 | Pulse (Battle-Scarred),$0.96,$1.00
SG 553 | Pulse (Field-Tested),$1.04,$1.08
SG 553 | Pulse (Minimal Wear),$3.45,$3.60
SG 553 | Pulse (Well-Worn),$1.54,$1.61
SG 553 | Tiger Moth (Battle-Scarred),$0.90,$0.94
SG 553 | Tiger Moth (Factory New),$6.45,$6.74
SG 553 | Tiger Moth (Field-Tested),$1.16,$1.21
SG 553 | Tiger Moth (Minimal Wear),$2.46,$2.57
SG 553 | Tiger Moth (Well-Worn),$0.96,$1.00
SG 553 | Tornado (Battle-Scarred),$4.04,$4.22
SG 553 | Tornado (Factory New),$18.12,$18.94
SG 553 | Tornado (Field-Tested),$4.07,$4.25
SG 553 | Tornado (Minimal Wear),$5.50,$5.75
SG 553 | Tornado (Well-Worn),$4.00,$4.18
SG 553 | Traveler (Battle-Scarred),$1.85,$1.93
SG 553 | Traveler (Factory New),$4.92,$5.14
SG 553 | Traveler (Field-Tested),$2.51,$2.62
SG 553 | Traveler (Minimal Wear),$2.99,$3.12
SG 553 | Traveler (Well-Worn),$2.01,$2.10
SG 553 | Triarch (Battle-Scarred),$0.36,$0.37
SG 553 | Triarch (Factory New),$1.39,$1.45
SG 553 | Triarch (Field-Tested),$0.37,$0.38
SG 553 | Triarch (Minimal Wear),$0.55,$0.57
SG 553 | Triarch (Well-Worn),$0.35,$0.36
SG 553 | Ultraviolet (Battle-Scarred),$6.25,$6.53
SG 553 | Ultraviolet (Factory New),$36.49,$38.14
SG 553 | Ultraviolet (Field-Tested),$6.23,$6.51
SG 553 | Ultraviolet (Minimal Wear),$6.44,$6.73
SG 553 | Ultraviolet (Well-Worn),$5.90,$6.16
SG 553 | Wave Spray (Battle-Scarred),$2.64,$2.76
SG 553 | Wave Spray (Factory New),$10.50,$10.97
SG 553 | Wave Spray (Field-Tested),$2.77,$2.89
SG 553 | Wave Spray (Minimal Wear),$2.88,$3.01
SG 553 | Wave Spray (Well-Worn),$2.89,$3.02
SG 553 | Waves Perforated (Battle-Scarred),$0.03,$0.04
SG 553 | Waves Perforated (Factory New),$0.17,$0.18
SG 553 | Waves Perforated (Field-Tested),$0.03,$0.04
SG 553 | Waves Perforated (Minimal Wear),$0.03,$0.04
SG 553 | Waves Perforated (Well-Worn),$0.03,$0.04
Shadow Case,$0.11,$0.12
Shadow Case Key,$6.53,$6.82
Shattered Web Case,$3.06,$3.19
Skill Groups Capsule,$1.02,$1.06
Slid3 Capsule,$1.02,$1.06
Slingshot | Phoenix,$0.58,$0.60
Soldier | Phoenix,$0.34,$0.35
Souvenir AK-47 | Black Laminate (Battle-Scarred),$26.07,$27.25
Souvenir AK-47 | Black Laminate (Factory New),$334.64,$349.85
Souvenir AK-47 | Black Laminate (Field-Tested),$20.60,$21.53
Souvenir AK-47 | Black Laminate (Minimal Wear),$35.46,$37.07
Souvenir AK-47 | Black Laminate (Well-Worn),$18.89,$19.74
Souvenir AK-47 | Safari Mesh (Battle-Scarred),$9.19,$9.60
Souvenir AK-47 | Safari Mesh (Factory New),$105.21,$109.99
Souvenir AK-47 | Safari Mesh (Field-Tested),$6.55,$6.84
Souvenir AK-47 | Safari Mesh (Minimal Wear),$14.76,$15.43
Souvenir AK-47 | Safari Mesh (Well-Worn),$6.57,$6.86
Souvenir AK-47 | Safety Net (Battle-Scarred),$54.60,$57.08
Souvenir AK-47 | Safety Net (Factory New),$79.72,$83.34
Souvenir AK-47 | Safety Net (Field-Tested),$23.21,$24.26
Souvenir AK-47 | Safety Net (Minimal Wear),$31.39,$32.81
Souvenir AK-47 | Safety Net (Well-Worn),$31.82,$33.26
Souvenir AUG | Colony (Battle-Scarred),$0.28,$0.29
Souvenir AUG | Colony (Factory New),$5.98,$6.25
Souvenir AUG | Colony (Field-Tested),$0.26,$0.27
Souvenir AUG | Colony (Minimal Wear),$0.67,$0.70
Souvenir AUG | Colony (Well-Worn),$0.44,$0.46
Souvenir AUG | Condemned (Battle-Scarred),$13.11,$13.70
Souvenir AUG | Condemned (Field-Tested),$10.41,$10.88
Souvenir AUG | Condemned (Minimal Wear),$81.60,$85.30
Souvenir AUG | Condemned (Well-Worn),$15.32,$16.01
Souvenir AUG | Contractor (Battle-Scarred),$4.14,$4.32
Souvenir AUG | Contractor (Factory New),$1,721.74,$1,800.00
Souvenir AUG | Contractor (Field-Tested),$3.90,$4.07
Souvenir AUG | Contractor (Minimal Wear),$6.35,$6.63
Souvenir AUG | Contractor (Well-Worn),$3.69,$3.85
Souvenir AUG | Radiation Hazard (Battle-Scarred),$1.51,$1.57
Souvenir AUG | Radiation Hazard (Factory New),$7.66,$8.00
Souvenir AUG | Radiation Hazard (Field-Tested),$1.80,$1.88
Souvenir AUG | Radiation Hazard (Minimal Wear),$4.01,$4.19
Souvenir AUG | Radiation Hazard (Well-Worn),$2.26,$2.36
Souvenir AUG | Random Access (Battle-Scarred),$32.75,$34.23
Souvenir AUG | Random Access (Factory New),$33.48,$35.00
Souvenir AUG | Random Access (Field-Tested),$7.09,$7.41
Souvenir AUG | Random Access (Minimal Wear),$18.85,$19.70
Souvenir AUG | Random Access (Well-Worn),$13.35,$13.95
Souvenir AUG | Storm (Battle-Scarred),$3.82,$3.99
Souvenir AUG | Storm (Factory New),$95.65,$99.99
Souvenir AUG | Storm (Field-Tested),$4.04,$4.22
Souvenir AUG | Storm (Minimal Wear),$7.53,$7.87
Souvenir AUG | Storm (Well-Worn),$4.20,$4.39
Souvenir AUG | Sweeper (Battle-Scarred),$0.30,$0.31
Souvenir AUG | Sweeper (Factory New),$0.99,$1.03
Souvenir AUG | Sweeper (Field-Tested),$0.25,$0.26
Souvenir AUG | Sweeper (Minimal Wear),$0.42,$0.43
Souvenir AUG | Sweeper (Well-Worn),$0.53,$0.55
Souvenir AWP | Acheron (Battle-Scarred),$23.55,$24.62
Souvenir AWP | Acheron (Factory New),$153.05,$160.00
Souvenir AWP | Acheron (Field-Tested),$27.30,$28.54
Souvenir AWP | Acheron (Minimal Wear),$53.49,$55.92
Souvenir AWP | Acheron (Well-Worn),$32.75,$34.23
Souvenir AWP | Pink DDPAT (Battle-Scarred),$33.75,$35.28
Souvenir AWP | Pink DDPAT (Field-Tested),$31.69,$33.13
Souvenir AWP | Pink DDPAT (Minimal Wear),$87.76,$91.74
Souvenir AWP | Pink DDPAT (Well-Worn),$35.93,$37.56
Souvenir AWP | Pit Viper (Field-Tested),$81.88,$85.60
Souvenir AWP | Pit Viper (Minimal Wear),$268.74,$280.95
Souvenir AWP | Safari Mesh (Battle-Scarred),$191.05,$199.73
Souvenir AWP | Safari Mesh (Field-Tested),$53.59,$56.02
Souvenir AWP | Safari Mesh (Minimal Wear),$191.30,$199.99
Souvenir AWP | Safari Mesh (Well-Worn),$80.96,$84.64
Souvenir CZ75-Auto | Chalice (Factory New),$93.20,$97.43
Souvenir CZ75-Auto | Chalice (Minimal Wear),$88.96,$93.00
Souvenir CZ75-Auto | Nitro (Battle-Scarred),$1.39,$1.45
Souvenir CZ75-Auto | Nitro (Factory New),$38.73,$40.49
Souvenir CZ75-Auto | Nitro (Field-Tested),$1.34,$1.40
Souvenir CZ75-Auto | Nitro (Minimal Wear),$3.77,$3.94
Souvenir CZ75-Auto | Nitro (Well-Worn),$1.76,$1.84
Souvenir Desert Eagle | Hand Cannon (Battle-Scarred),$232.25,$242.80
Souvenir Desert Eagle | Hand Cannon (Factory New),$1,491.75,$1,559.55
Souvenir Desert Eagle | Hand Cannon (Field-Tested),$140.09,$146.45
Souvenir Desert Eagle | Hand Cannon (Minimal Wear),$304.70,$318.55
Souvenir Desert Eagle | Hand Cannon (Well-Worn),$256.12,$267.76
Souvenir Desert Eagle | Mudder (Battle-Scarred),$83.54,$87.33
Souvenir Desert Eagle | Mudder (Field-Tested),$16.90,$17.66
Souvenir Desert Eagle | Mudder (Minimal Wear),$61.97,$64.78
Souvenir Desert Eagle | Mudder (Well-Worn),$16.01,$16.73
Souvenir Desert Eagle | Urban DDPAT (Battle-Scarred),$2.36,$2.46
Souvenir Desert Eagle | Urban DDPAT (Factory New),$42.61,$44.54
Souvenir Desert Eagle | Urban DDPAT (Field-Tested),$2.14,$2.23
Souvenir Desert Eagle | Urban DDPAT (Minimal Wear),$5.64,$5.89
Souvenir Desert Eagle | Urban DDPAT (Well-Worn),$2.26,$2.36
Souvenir Desert Eagle | Urban Rubble (Battle-Scarred),$15.07,$15.75
Souvenir Desert Eagle | Urban Rubble (Factory New),$15.27,$15.96
Souvenir Desert Eagle | Urban Rubble (Field-Tested),$5.47,$5.71
Souvenir Desert Eagle | Urban Rubble (Minimal Wear),$6.83,$7.14
Souvenir Desert Eagle | Urban Rubble (Well-Worn),$8.31,$8.68
Souvenir Dual Berettas | Anodized Navy (Factory New),$2.95,$3.08
Souvenir Dual Berettas | Anodized Navy (Minimal Wear),$4.99,$5.21
Souvenir Dual Berettas | Briar (Factory New),$1.23,$1.28
Souvenir Dual Berettas | Briar (Field-Tested),$0.68,$0.71
Souvenir Dual Berettas | Briar (Minimal Wear),$0.75,$0.78
Souvenir Dual Berettas | Cobalt Quartz (Factory New),$802.03,$838.48
Souvenir Dual Berettas | Cobalt Quartz (Minimal Wear),$121.00,$126.50
Souvenir Dual Berettas | Colony (Battle-Scarred),$0.27,$0.28
Souvenir Dual Berettas | Colony (Factory New),$2.75,$2.87
Souvenir Dual Berettas | Colony (Field-Tested),$0.18,$0.19
Souvenir Dual Berettas | Colony (Minimal Wear),$0.36,$0.37
Souvenir Dual Berettas | Colony (Well-Worn),$0.24,$0.25
Souvenir Dual Berettas | Contractor (Battle-Scarred),$1.69,$1.76
Souvenir Dual Berettas | Contractor (Factory New),$129.30,$135.17
Souvenir Dual Berettas | Contractor (Field-Tested),$1.39,$1.45
Souvenir Dual Berettas | Contractor (Minimal Wear),$3.97,$4.15
Souvenir Dual Berettas | Contractor (Well-Worn),$3.06,$3.19
Souvenir Dual Berettas | Demolition (Battle-Scarred),$2.47,$2.58
Souvenir Dual Berettas | Demolition (Field-Tested),$4.40,$4.60
Souvenir Dual Berettas | Demolition (Well-Worn),$2.49,$2.60
Souvenir Dual Berettas | Stained (Battle-Scarred),$7.18,$7.50
Souvenir Dual Berettas | Stained (Field-Tested),$18.56,$19.40
Souvenir Dual Berettas | Stained (Minimal Wear),$22.20,$23.20
Souvenir Dual Berettas | Stained (Well-Worn),$6.29,$6.57
Souvenir Dual Berettas | Twin Turbo (Battle-Scarred),$11.89,$12.43
Souvenir Dual Berettas | Twin Turbo (Field-Tested),$36.46,$38.11
Souvenir Dual Berettas | Twin Turbo (Minimal Wear),$73.22,$76.54
Souvenir Dual Berettas | Twin Turbo (Well-Worn),$46.87,$49.00
Souvenir FAMAS | Colony (Battle-Scarred),$3.90,$4.07
Souvenir FAMAS | Colony (Factory New),$125.54,$131.24
